nomes;idade;cidade;estado;cpf;cnpj;cpfStatus;cnpjStatus
Renee Aguilar;66;GUACLARA;MS;35215085285;68225890448395;True;True
James Yates;46;ACORIZAL;MT;62975812582;47484165626480;True;True
David Baker;57;ABAETETUBA;PA;98505394887;50279742395847;True;True
Jeremy Newman;40;GUABRANCA;PB;52300169142;39379741435647;True;True
Kristina Jenkins;47;ABREUELIMA;PE;39145199400;18232110813757;True;True
Leah Jordan;90;ACAU;PI;19328080002;17419320006971;True;True
Sara Soto;56;ABATI;PR;16334675460;00191628242980;True;True
Randall Rodriguez;27;ANGRADOSREIS;RJ;95542327214;17287223268748;True;True
Ashley Salazar;78;ACARI;RN;45425833172;00731280980889;True;True
Justin Miller;87;ALTAFLORESTADOESTE;RO;89515714591;86619391072801;True;True
Daniel Everett;49;AMAJARI;RR;26581429430;30474123744078;True;True
Jasmine Watson;48;ACEGU;RS;24507642329;71350358136680;True;True
Virginia Richard;81;ABDONBATISTA;SC;98596295607;75000264756770;True;True
Daniel Roberts;23;AMPARODESOFRANCISCO;SE;53859983032;16612334091283;True;True
Anthony Christensen;41;ADAMANTINA;SP;23956218116;81328564055485;True;True
Keith Haas;31;ABREULNDIA;TO;26028029726;53870199987506;True;True
Elizabeth Gamble;88;ACRELNDIA;AC;12865827178;21050396396390;True;True
Willie Richard;56;GUABRANCA;AL;92172948454;71091127118374;True;True
Amanda Bush;66;ALVARES;AM;02332119507;43448562555913;True;True
Pamela Costa;35;SERRADONAVIO;AP;74210108669;73942547368020;True;True
Courtney Morales;81;ABARA;BA;64873264618;62477843194660;True;True
Joshua Benjamin;36;ABAIARA;CE;79843324870;65473080358700;True;True
Kayla Martinez;60;Braslia;DF;43469461600;90527090440565;True;True
Brian Wheeler;18;AFONSOCLUDIO;ES;80669774090;43812437212237;True;True
Jeffrey Miranda;73;ABADIADEGOIS;GO;34203007194;12512809954770;True;True
Carlos Figueroa;49;AAILNDIA;MA;77026626701;36801121516313;True;True
Elizabeth Taylor;42;ABADIADOSDOURADOS;MG;02247972390;62193478797448;True;True
James Golden;41;GUACLARA;MS;85971534408;09273434114909;True;True
Vincent King;78;ACORIZAL;MT;53808528907;55747629773727;True;True
Russell Knight;54;ABAETETUBA;PA;48903110250;68613891940562;True;True
Adam Kennedy;27;GUABRANCA;PB;76458788940;68698328505366;True;True
John Miller;35;ABREUELIMA;PE;82553656998;64016130515367;True;True
Jacqueline Macdonald;44;ACAU;PI;98039926432;72871361878004;True;True
James Schwartz;39;ABATI;PR;94510780966;52239146186941;True;True
Amanda King;76;ANGRADOSREIS;RJ;06081345629;66680505041428;True;True
Jordan Thompson;42;ACARI;RN;69726893763;81396947762251;True;True
Carla Sharp;39;ALTAFLORESTADOESTE;RO;82626037028;40077856045442;True;True
Amy Walters;36;AMAJARI;RR;28091330340;09918809234911;True;True
Michelle Ramirez;23;ACEGU;RS;58650375790;97866046502494;True;True
Richard Lopez;18;ABDONBATISTA;SC;78683991806;29397762786930;True;True
Catherine Campbell;46;AMPARODESOFRANCISCO;SE;26023146414;73955213438804;True;True
Carlos Pruitt;73;ADAMANTINA;SP;88504227766;09123790251927;True;True
Megan Knight;87;ABREULNDIA;TO;56334152211;49948831317204;True;True
Maria Alvarado;55;ACRELNDIA;AC;48711623110;52699547228733;True;True
Jeffrey Stevenson;51;GUABRANCA;AL;09302612325;09141472397691;True;True
David Thompson;57;ALVARES;AM;17513562806;84255882727069;True;True
Caleb Berger;29;SERRADONAVIO;AP;63829000871;72802619149434;True;True
Julia Roberts;30;ABARA;BA;97300834280;76917336294073;True;True
Jerry Williams;38;ABAIARA;CE;24444098414;34206098919838;True;True
Ernest Hendrix DVM;34;Braslia;DF;49063212402;24555911626808;True;True
Dr. Joseph Brown;31;AFONSOCLUDIO;ES;01647943019;26649032465761;True;True
Daniel Henderson;86;ABADIADEGOIS;GO;42737433290;81288740141587;True;True
Matthew Wolfe;68;AAILNDIA;MA;83795832802;70940670740029;True;True
Joshua Green;82;ABADIADOSDOURADOS;MG;44756675697;84610501543124;True;True
Amy Burke;30;GUACLARA;MS;79752836909;69165296104490;True;True
Samantha Torres;77;ACORIZAL;MT;13349307400;09334072238049;True;True
James Benson;80;ABAETETUBA;PA;18299104505;72763249066772;True;True
Roger Gonzales;33;GUABRANCA;PB;53726444351;54966823449801;True;True
Brittany Munoz;88;ABREUELIMA;PE;14653410992;85810258722756;True;True
Elizabeth Lee;25;ACAU;PI;84639530340;49122977271875;True;True
Philip Perez;28;ABATI;PR;19647835507;43707496121100;True;True
Leonard Robinson;45;ANGRADOSREIS;RJ;18231357068;46484130476657;True;True
Lance Huerta;71;ACARI;RN;40601910273;34192075006689;True;True
Daniel Welch;52;ALTAFLORESTADOESTE;RO;33850743047;09939649582332;True;True
Larry Wilkerson;35;AMAJARI;RR;96019007057;17549091652615;True;True
Heather Combs;74;ACEGU;RS;03512211828;49355477791372;True;True
Brittany Gardner;90;ABDONBATISTA;SC;51303283107;23098505883526;True;True
David Boyd;53;AMPARODESOFRANCISCO;SE;31506569234;09052204343935;True;True
David Ryan;86;ADAMANTINA;SP;13010585993;77493470929303;True;True
Heather Mckinney;56;ABREULNDIA;TO;99313433540;02201409957978;True;True
Patrick Flores;90;ACRELNDIA;AC;19818112229;07494502401909;True;True
Bryan Bradley;33;GUABRANCA;AL;86547560805;59135740766938;True;True
Benjamin Griffith;84;ALVARES;AM;31843541483;86983349583101;True;True
Sandra Foster;41;SERRADONAVIO;AP;37092920850;40760955669711;True;True
Kristin Bryan;45;ABARA;BA;46105453574;05918207280425;True;True
Michael Brown Jr.;87;ABAIARA;CE;16272343817;35358250781141;True;True
Douglas Kelley;71;Braslia;DF;31348457090;09985130825048;True;True
Patricia Brown;65;AFONSOCLUDIO;ES;79066605871;64380855520767;True;True
Antonio Barry;24;ABADIADEGOIS;GO;92824146982;33054059264283;True;True
Kathryn Torres;26;AAILNDIA;MA;56642643224;57309276173787;True;True
Benjamin Payne;39;ABADIADOSDOURADOS;MG;26140108713;13728454898032;True;True
Susan Wolfe;90;GUACLARA;MS;56234530230;47535561875449;True;True
Dr. Charles Larson MD;41;ACORIZAL;MT;87209044442;64091543195565;True;True
Danielle Jensen;75;ABAETETUBA;PA;18841005033;58424108423408;True;True
Jennifer Hubbard;38;GUABRANCA;PB;07664204852;56760106406446;True;True
Richard Juarez;73;ABREUELIMA;PE;88809870115;09999822843450;True;True
Brenda White;47;ACAU;PI;16850338498;82106473778907;True;True
Hannah Smith;75;ABATI;PR;78534071900;96072357888180;True;True
Miss Sheila Boyd;48;ANGRADOSREIS;RJ;78911944327;35008032890121;True;True
Carolyn Arnold;42;ACARI;RN;64531105982;40418678080115;True;True
Patrick Johnson;55;ALTAFLORESTADOESTE;RO;55938654505;30969777753578;True;True
Lindsey Diaz;81;AMAJARI;RR;74973096172;81789311906450;True;True
Robert Miller;31;ACEGU;RS;27665761186;45242212619750;True;True
Jill Mckenzie;56;ABDONBATISTA;SC;89242173053;81008245939528;True;True
Nicole Horne;30;AMPARODESOFRANCISCO;SE;28792924417;25966153172831;True;True
Stacey Gibson;76;ADAMANTINA;SP;20049064134;07145319639635;True;True
Linda Jackson;29;ABREULNDIA;TO;59944811904;29274690841110;True;True
Alicia Anderson;87;ACRELNDIA;AC;52218429047;13815220893659;True;True
Logan Rose;65;GUABRANCA;AL;45977190913;58165710544682;True;True
Brittany Richards;38;ALVARES;AM;84308165695;47500189379454;True;True
Kelly Love;90;SERRADONAVIO;AP;83763668071;57073923815313;True;True
Jackie Price;82;ABARA;BA;45415446010;96723711608250;True;True
Andrew Butler;48;ABAIARA;CE;17334945964;22315102579293;True;True
Brian Mills;27;Braslia;DF;79649961429;32630942076049;True;True
Dr. Savannah Carr;49;AFONSOCLUDIO;ES;51214362893;68039367552007;True;True
Cheryl Horton;40;ABADIADEGOIS;GO;32710447754;72961672932603;True;True
Derek Leblanc;55;AAILNDIA;MA;32928632107;69589130990507;True;True
Todd Wong;82;ABADIADOSDOURADOS;MG;74805848731;78622663629220;True;True
Lance Edwards;61;GUACLARA;MS;50449024202;26678171021408;True;True
Jaime Stevens;22;ACORIZAL;MT;82417088665;63036194141505;True;True
Jason Robbins;60;ABAETETUBA;PA;39257633845;76174146481709;True;True
Cynthia Pitts;23;GUABRANCA;PB;50561567018;17887360452565;True;True
Kristen Gross;65;ABREUELIMA;PE;46180669899;69800614212763;True;True
Rebecca Griffith;69;ACAU;PI;87656590315;37226258428811;True;True
Ashley Lee;31;ABATI;PR;15697276788;31291182258721;True;True
Samantha Patterson;38;ANGRADOSREIS;RJ;98433577522;53139449701744;True;True
Brett Lane;89;ACARI;RN;40854169369;60154868444807;True;True
Jimmy Suarez;61;ALTAFLORESTADOESTE;RO;37627143128;60732738991619;True;True
Deanna Weber;27;AMAJARI;RR;20352996676;22379508909124;True;True
Jerome Jones Jr.;71;ACEGU;RS;84069760474;62302843646709;True;True
Samantha Smith MD;54;ABDONBATISTA;SC;94165798401;01471919086845;True;True
Daniel Grant;34;AMPARODESOFRANCISCO;SE;42843879795;31489534356920;True;True
Jamie Cooper;18;ADAMANTINA;SP;34769448830;61693028194919;True;True
Michael Farley;29;ABREULNDIA;TO;94746583234;56681874295823;True;True
Grace Wilkinson;58;ACRELNDIA;AC;90229124933;80048914227530;True;True
Jennifer Johnson;39;GUABRANCA;AL;72218026708;75931748763437;True;True
Joseph Crane;66;ALVARES;AM;60372403964;85539542246270;True;True
Ana Coleman;75;SERRADONAVIO;AP;45228095497;72702383461204;True;True
Jessica Burton;68;ABARA;BA;56837916181;21917905393666;True;True
Michele Johnson;62;ABAIARA;CE;58854892971;60889452489857;True;True
Jason Johnson;83;Braslia;DF;08191018772;27677758676712;True;True
Carl Craig;61;AFONSOCLUDIO;ES;98073844192;38299252618539;True;True
Richard Chan;38;ABADIADEGOIS;GO;35347654198;88648402265796;True;True
Sean Griffin;44;AAILNDIA;MA;51156741572;52173522068230;True;True
Melissa Peterson;59;ABADIADOSDOURADOS;MG;42906475459;65418545289800;True;True
Alexandra Little;44;GUACLARA;MS;06263670932;40724030114250;True;True
George Parker;54;ACORIZAL;MT;73821454768;50064484337253;True;True
Christina Garcia;78;ABAETETUBA;PA;64474807456;94346519961382;True;True
Amanda Weber;34;GUABRANCA;PB;20342868470;55785840019975;True;True
Melissa Smith;51;ABREUELIMA;PE;59219052326;80692673177609;True;True
Sabrina Lambert;18;ACAU;PI;20180795902;65334512439956;True;True
Danielle Huang;38;ABATI;PR;87808203017;89278953939752;True;True
Nicholas Jennings;87;ANGRADOSREIS;RJ;62130611770;92444539047707;True;True
Heather Chandler;76;ACARI;RN;57351053456;25066467208157;True;True
Jennifer Wright;68;ALTAFLORESTADOESTE;RO;51134901720;65590218597144;True;True
Ryan Hughes;78;AMAJARI;RR;70996388745;44553557910008;True;True
Raymond Horton;69;ACEGU;RS;99046710874;51506207126002;True;True
Teresa Miller;87;ABDONBATISTA;SC;45881854543;49560718506211;True;True
Donna Walker;52;AMPARODESOFRANCISCO;SE;92289615200;61225420148400;True;True
Rebecca Castro;22;ADAMANTINA;SP;56742584572;25892319849065;True;True
Nathan English;21;ABREULNDIA;TO;67068448291;48030566331547;True;True
Larry Lee;53;ACRELNDIA;AC;09668342755;66339841428322;True;True
Brian Harmon;56;GUABRANCA;AL;70404385346;37964129744820;True;True
James Hansen;68;ALVARES;AM;13350204465;73728445364877;True;True
Shane Holmes;48;SERRADONAVIO;AP;50508918332;49053483996775;True;True
Joanne Christian;30;ABARA;BA;97045848226;57579729340101;True;True
Jeremiah Medina;31;ABAIARA;CE;81664137521;54867324602800;True;True
Katherine Avila;62;Braslia;DF;13913666702;12790768735470;True;True
Patricia Ellis MD;88;AFONSOCLUDIO;ES;87226240742;40583003377132;True;True
Daniel Jackson;48;ABADIADEGOIS;GO;97225407180;21214714812460;True;True
Maureen Allen;38;AAILNDIA;MA;52349265242;14231525176186;True;True
Monica Daugherty;70;ABADIADOSDOURADOS;MG;98160890095;38011728267783;True;True
Vincent Scott;33;GUACLARA;MS;83396133242;27123764024577;True;True
Angela Sanchez;35;ACORIZAL;MT;52170558390;95840309456841;True;True
Jennifer Garcia;46;ABAETETUBA;PA;67718202976;61424407966302;True;True
Edward Smith;40;GUABRANCA;PB;67552002476;73889098538447;True;True
Megan Vargas;67;ABREUELIMA;PE;87326070326;26916499716235;True;True
Brian Nielsen MD;79;ACAU;PI;92175413624;26321465317255;True;True
Adrian Johnson;39;ABATI;PR;42676455311;69710784448955;True;True
Richard Calhoun;86;ANGRADOSREIS;RJ;97962537639;27640448444350;True;True
Jessica Parker;67;ACARI;RN;54919112670;77065200522447;True;True
Gina Murphy DDS;29;ALTAFLORESTADOESTE;RO;64449873262;97280855179538;True;True
Angie Martin;61;AMAJARI;RR;29424532067;46959462762902;True;True
Steve Wall;89;ACEGU;RS;85471063759;36637330286785;True;True
Pamela Fox;40;ABDONBATISTA;SC;86746368700;53906686204226;True;True
Monique Taylor;56;AMPARODESOFRANCISCO;SE;07920592801;47566687524181;True;True
Kimberly Moody;55;ADAMANTINA;SP;18488167903;27669974156399;True;True
Matthew Kim;24;ABREULNDIA;TO;54772834915;54265457732506;True;True
Dustin Rodriguez;35;ACRELNDIA;AC;74491446970;82335425652458;True;True
Caroline Ward;74;GUABRANCA;AL;22237340064;55309865842755;True;True
Duane Hill;84;ALVARES;AM;48817022705;53548551071090;True;True
Christopher Gomez;46;SERRADONAVIO;AP;51713647028;33393922129362;True;True
Nicholas Simon;82;ABARA;BA;24152344270;57407548154566;True;True
Corey Jones;28;ABAIARA;CE;53026159247;26387846223259;True;True
Tara Lopez;88;Braslia;DF;33727732334;21721806610052;True;True
David Johnson;77;AFONSOCLUDIO;ES;36131315604;63304988271635;True;True
Patrick Spencer;89;ABADIADEGOIS;GO;78481843580;24763831008834;True;True
Katherine Chapman;34;AAILNDIA;MA;33709159369;96235786933606;True;True
Andrew Caldwell;23;ABADIADOSDOURADOS;MG;75154760018;82034663546666;True;True
Catherine Graham;81;GUACLARA;MS;51991957785;58423274433010;True;True
Tracy Jordan;32;ACORIZAL;MT;53677379350;27333507532557;True;True
Vanessa Everett;56;ABAETETUBA;PA;73580714686;91810297735815;True;True
David Smith;49;GUABRANCA;PB;86174871940;85677828527229;True;True
Jared Savage;60;ABREUELIMA;PE;74376070262;20544040694014;True;True
Kristin Harris;42;ACAU;PI;11197597573;13345967504627;True;True
Paige Allen;73;ABATI;PR;71280449497;19429435842460;True;True
Laura Villarreal;56;ANGRADOSREIS;RJ;22430496275;67679610330860;True;True
Crystal Combs;51;ACARI;RN;91645834573;35377908421620;True;True
Raymond Wright;67;ALTAFLORESTADOESTE;RO;01028626215;89686853642916;True;True
Tina Duke;68;AMAJARI;RR;29036772982;24102274988139;True;True
Michael Smith;54;ACEGU;RS;61326750518;24798344587300;True;True
Heather Woods;60;ABDONBATISTA;SC;37713115005;20032428131066;True;True
Jennifer Taylor;63;AMPARODESOFRANCISCO;SE;58160629990;68323214063720;True;True
Lisa Lawson;20;ADAMANTINA;SP;97252324370;20829552919126;True;True
Marc Goodwin;18;ABREULNDIA;TO;12814069020;36554571126992;True;True
Mark Johnson;57;ACRELNDIA;AC;80966903889;36144804937014;True;True
Gloria Guzman;21;GUABRANCA;AL;52042716006;31128786545220;True;True
Richard Carpenter;61;ALVARES;AM;81692059050;02002676259984;True;True
Eric Cabrera;52;SERRADONAVIO;AP;73651012530;92505142451724;True;True
Michael Smith;81;ABARA;BA;04925315447;40365755101997;True;True
Donald Roberson;25;ABAIARA;CE;18724803570;17895832750387;True;True
Jennifer Barnes;61;Braslia;DF;70985986239;48182839118387;True;True
Summer Flores;78;AFONSOCLUDIO;ES;94272127136;65733011705847;True;True
Alan Greene;77;ABADIADEGOIS;GO;98920407169;99435816912104;True;True
Larry Waters;53;AAILNDIA;MA;41964897530;59273324725035;True;True
Jeffrey Cohen;51;ABADIADOSDOURADOS;MG;39813713216;52242900128102;True;True
David Adams;44;GUACLARA;MS;65234730158;41088531254000;True;True
Philip Burns;27;ACORIZAL;MT;45438017174;49803035272310;True;True
Adriana Campos;31;ABAETETUBA;PA;39110714260;56823891204216;True;True
Stephen Murray;62;GUABRANCA;PB;25672902650;32917216839439;True;True
James Wilson;79;ABREUELIMA;PE;14245307250;13696660040313;True;True
Jonathan Valdez;71;ACAU;PI;08784214678;55176103343802;True;True
Tonya Hudson;82;ABATI;PR;05876933554;63913754629085;True;True
Tara Rodriguez;86;ANGRADOSREIS;RJ;99306697368;47247939595554;True;True
Steven Harrison;51;ACARI;RN;85529985211;71741468007600;True;True
Collin Dudley;70;ALTAFLORESTADOESTE;RO;25576849884;82897359261800;True;True
Andrew Sanchez;84;AMAJARI;RR;64432482877;95385513065462;True;True
Mary Harrison;62;ACEGU;RS;73896442813;88072174322060;True;True
William Valdez;42;ABDONBATISTA;SC;40039270602;42970127945943;True;True
Rachel Hill;47;AMPARODESOFRANCISCO;SE;01409977331;67989740040396;True;True
James Valdez;63;ADAMANTINA;SP;17399355436;65027552897902;True;True
Dr. Tammie Barnes;86;ABREULNDIA;TO;16206889726;16305605667494;True;True
Donna Campbell;89;ACRELNDIA;AC;79752943306;71621029791322;True;True
Matthew Sellers;35;GUABRANCA;AL;65634196582;53283198853364;True;True
Darren Steele;43;ALVARES;AM;59213956843;96486821398330;True;True
Brandon Walker;60;SERRADONAVIO;AP;91132461278;23470836729708;True;True
Taylor Garner;84;ABARA;BA;45849431098;58149339750648;True;True
Frank Smith;30;ABAIARA;CE;90173860966;14598238941948;True;True
Taylor Marshall;33;Braslia;DF;24284513249;62420640959332;True;True
Jason Sweeney;76;AFONSOCLUDIO;ES;34395237215;34850475269996;True;True
Alexander Sparks;82;ABADIADEGOIS;GO;86438838322;98989187152890;True;True
Loretta Scott;49;AAILNDIA;MA;93440108384;12215809713507;True;True
Michael Chambers;87;ABADIADOSDOURADOS;MG;83752533919;80522749078595;True;True
Samuel Freeman;75;GUACLARA;MS;75056221538;07049091924457;True;True
Nicholas Martin;65;ACORIZAL;MT;47417211089;76633874139227;True;True
Mrs. Mary Smith;71;ABAETETUBA;PA;58084385780;15957220582532;True;True
Jeffery Goodman;67;GUABRANCA;PB;08347115400;72903914908493;True;True
Barbara Ashley;26;ABREUELIMA;PE;12635390924;92948826285000;True;True
Lisa Ellis;68;ACAU;PI;67609195057;76895946873048;True;True
Haley Winters;60;ABATI;PR;31983471909;35916356749490;True;True
Lisa Padilla;64;ANGRADOSREIS;RJ;92133632492;08274339520868;True;True
William Manning;61;ACARI;RN;23459620706;00909989195067;True;True
Spencer Contreras;53;ALTAFLORESTADOESTE;RO;67887276608;52288306093189;True;True
Kiara Cannon;41;AMAJARI;RR;97116328106;43426144011232;True;True
Sara Gilmore;34;ACEGU;RS;84671262053;21547987809809;True;True
Sara Carpenter;81;ABDONBATISTA;SC;91645722503;00764621291103;True;True
Andrew Bryant;46;AMPARODESOFRANCISCO;SE;16745681773;02360853172963;True;True
Brad Valdez;80;ADAMANTINA;SP;67659570064;64205859878182;True;True
Tabitha Smith;24;ABREULNDIA;TO;08234526030;42374812302151;True;True
Diana Thomas;24;ACRELNDIA;AC;75416326190;98918877076221;True;True
Suzanne Mills;59;GUABRANCA;AL;71349681547;17762476245270;True;True
Shannon Ross;65;ALVARES;AM;03437598376;63421363826620;True;True
Joseph Powell;84;SERRADONAVIO;AP;20558516327;68320081943452;True;True
Michelle Hodges;56;ABARA;BA;70258045680;22931318175352;True;True
Jacob Jackson;59;ABAIARA;CE;21025225988;63282246712881;True;True
Jennifer Coleman;53;Braslia;DF;12810788910;71306512510321;True;True
Lauren Pearson;38;AFONSOCLUDIO;ES;47488372417;03730595298942;True;True
Brittany Williamson;31;ABADIADEGOIS;GO;11275955126;29717889163674;True;True
Joseph Terry;53;AAILNDIA;MA;88228202660;85346880594730;True;True
Gary Gardner;45;ABADIADOSDOURADOS;MG;93380604119;75769556597525;True;True
Spencer Graham;43;GUACLARA;MS;45649560862;56160811515376;True;True
Eric Wilkins;78;ACORIZAL;MT;24377033301;32700759545919;True;True
Heather Delacruz;62;ABAETETUBA;PA;81853210277;60328040285681;True;True
Mark Lyons;38;GUABRANCA;PB;31054954798;52091002777255;True;True
Jessica Walters;87;ABREUELIMA;PE;43733900294;97296816664656;True;True
Yvonne Cannon;19;ACAU;PI;61658111672;09370744292017;True;True
Shawn Oconnell;76;ABATI;PR;91726174549;03964464395887;True;True
Michelle Wise;42;ANGRADOSREIS;RJ;10054902959;02260644325442;True;True
Earl Hall;54;ACARI;RN;60617807612;42217694897341;True;True
Daniel King;42;ALTAFLORESTADOESTE;RO;09668402162;63421619422779;True;True
Jeremiah Moore;59;AMAJARI;RR;89606915859;52073063763744;True;True
Alexander Krause;67;ACEGU;RS;81736286889;41595393221387;True;True
Miranda Bishop;23;ABDONBATISTA;SC;80700264566;44560236666440;True;True
Jared Gomez;58;AMPARODESOFRANCISCO;SE;48197278180;40346520952125;True;True
Laurie Schmitt;80;ADAMANTINA;SP;76142086768;57507969666624;True;True
Gregory Allen;45;ABREULNDIA;TO;96416392852;23586758765503;True;True
Sarah Robbins;38;ACRELNDIA;AC;53183441004;20986877929851;True;True
Elizabeth Reynolds;19;GUABRANCA;AL;76611890033;28211910716626;True;True
Shirley Alvarado;73;ALVARES;AM;31786090406;62598268608564;True;True
Leslie Washington;64;SERRADONAVIO;AP;55131343658;47057240236637;True;True
Monica Blankenship;32;ABARA;BA;75462033680;34184165938490;True;True
Ashley Manning;60;ABAIARA;CE;10227717872;11091746847410;True;True
Mary Welch;83;Braslia;DF;43660051667;61704751605689;True;True
Tamara Greer;79;AFONSOCLUDIO;ES;98366060250;62671462182520;True;True
Jennifer Pope;72;ABADIADEGOIS;GO;68854973807;06586264347180;True;True
Rebecca Stone;18;AAILNDIA;MA;72797344057;49003297703309;True;True
Patrick Barrett;50;ABADIADOSDOURADOS;MG;21411888650;61801188994973;True;True
Steven Rivera;58;GUACLARA;MS;21990968155;12544798058977;True;True
Vincent Bean;28;ACORIZAL;MT;01790068860;74641239629000;True;True
Kurt Kim;86;ABAETETUBA;PA;08724156515;86163865393730;True;True
Amanda Johnson;25;GUABRANCA;PB;56572366103;45822473641752;True;True
Drew Jones;21;ABREUELIMA;PE;61247730239;24461135521198;True;True
Kimberly Evans;21;ACAU;PI;87755382370;02932350459530;True;True
Paula Turner;47;ABATI;PR;34817266864;83903849053808;True;True
Kimberly Parsons;59;ANGRADOSREIS;RJ;23143518197;97505486253360;True;True
Christopher Davis;51;ACARI;RN;41058234340;47595443777688;True;True
Tyler Lewis;30;ALTAFLORESTADOESTE;RO;68974013584;71060399452630;True;True
John Peters;69;AMAJARI;RR;74734503958;47419339957614;True;True
Jesse Carter;44;ACEGU;RS;74752815230;01759763360201;True;True
Corey Simmons;42;ABDONBATISTA;SC;32430588307;55033970124313;True;True
Kathleen Conway;34;AMPARODESOFRANCISCO;SE;07425835622;35385347362760;True;True
Julie Smith;78;ADAMANTINA;SP;00244187738;33215111723877;True;True
Katelyn Roach;82;ABREULNDIA;TO;01875141359;40192790809750;True;True
Mason Austin;74;ACRELNDIA;AC;05435419913;28874881892901;True;True
Dana Stewart;72;GUABRANCA;AL;65601192707;22157629044040;True;True
Kyle Walsh;42;ALVARES;AM;77075349724;68203696004850;True;True
Charlene Hicks;38;SERRADONAVIO;AP;10899412262;09967450157706;True;True
Amy Richards;18;ABARA;BA;55984497654;61728147067933;True;True
Robert Rodriguez;76;ABAIARA;CE;74069125523;60644594051352;True;True
Nicholas Torres;38;Braslia;DF;00210960400;32910837570181;True;True
Michael Leach;26;AFONSOCLUDIO;ES;33622285265;25360538235364;True;True
Amber Rodriguez;29;ABADIADEGOIS;GO;50249717603;75914398604866;True;True
Jennifer Vega;72;AAILNDIA;MA;07987219010;79752308160779;True;True
Kristen Morgan DDS;68;ABADIADOSDOURADOS;MG;96631273250;15315345431358;True;True
David Foster;45;GUACLARA;MS;73859318390;23005507699005;True;True
Sharon Marquez;26;ACORIZAL;MT;79319497818;63821080357900;True;True
Teresa Lee;20;ABAETETUBA;PA;79899973394;65826633759235;True;True
Tracy Bowen;67;GUABRANCA;PB;92345949406;90881197707953;True;True
Daniel Hill;61;ABREUELIMA;PE;96304339666;69536428086100;True;True
Christopher Garrett;19;ACAU;PI;42632298946;28870690402036;True;True
Jessica Potter;47;ABATI;PR;23076993259;77573345977103;True;True
Todd Ellis;73;ANGRADOSREIS;RJ;08981155070;04789254382108;True;True
Jessica Mejia;63;ACARI;RN;07821650528;96295281438628;True;True
Michael Shelton;63;ALTAFLORESTADOESTE;RO;93680189362;56833953596250;True;True
Amy Wiggins;37;AMAJARI;RR;33589230100;34766184006158;True;True
Austin Rodriguez;52;ACEGU;RS;37904884615;59236150356833;True;True
Jill Woods;67;ABDONBATISTA;SC;83640395395;04089128081027;True;True
Eric Campbell;69;AMPARODESOFRANCISCO;SE;65601553076;25003659049806;True;True
William Jackson;70;ADAMANTINA;SP;87851203830;07951056700318;True;True
Drew Bright;40;ABREULNDIA;TO;74305623021;03302573820041;True;True
Jennifer Davis;69;ACRELNDIA;AC;97294061114;37375935447906;True;True
Leah Gutierrez;33;GUABRANCA;AL;94374572473;14649676835535;True;True
Jamie Ortega;24;ALVARES;AM;74762375446;87501611441300;True;True
Calvin Phillips;77;SERRADONAVIO;AP;02556172088;05120308064249;True;True
Jennifer Lawson;48;ABARA;BA;98552963469;26536614168796;True;True
Lawrence Montes;42;ABAIARA;CE;63259073370;82886316233299;True;True
Gary Chambers;40;Braslia;DF;70550916083;83905377046370;True;True
Claudia Johnson;34;AFONSOCLUDIO;ES;89355634200;37387068428371;True;True
Olivia Bridges;56;ABADIADEGOIS;GO;15456214202;20803673556896;True;True
Kylie Sims;68;AAILNDIA;MA;41685956416;56796013539439;True;True
Terry Scott;58;ABADIADOSDOURADOS;MG;56015987898;73651185098712;True;True
Juan Welch;36;GUACLARA;MS;34940493350;60696295012625;True;True
John Mckinney;81;ACORIZAL;MT;32261449364;74565974106062;True;True
Denise Lopez;34;ABAETETUBA;PA;59203566180;50656166711400;True;True
John Perry;88;GUABRANCA;PB;55008345419;87990464034156;True;True
Mrs. Tammy Dominguez;58;ABREUELIMA;PE;71858135818;86936951743306;True;True
Chloe Daniels;66;ACAU;PI;40258377658;01055706668530;True;True
Nicole Bowen;42;ABATI;PR;28582115580;43489990649387;True;True
William Horn;68;ANGRADOSREIS;RJ;53023441650;80589280242166;True;True
Sara Lane;89;ACARI;RN;03793552640;28391660792163;True;True
Angela Johnson;30;ALTAFLORESTADOESTE;RO;05267063339;23530412972033;True;True
John Rivera;20;AMAJARI;RR;56168420525;07835030005479;True;True
Amy Williams;58;ACEGU;RS;73826875702;37585758355001;True;True
brenda GARDNER;45;ABDONBATISTA;SC;44148136030;66423031093404;True;True
ronald JACKSON;82;AMPARODESOFRANCISCO;SE;43531985302;00340409654270;True;True
larry ARNOLD;54;ADAMANTINA;SP;12468545036;91115574437348;True;True
kenneth WALLS;71;ABREULNDIA;TO;70979353408;61784613939008;True;True
francisco GARCIA;63;ACRELNDIA;AC;42699085561;83710147709991;True;True
mark MURRAY;39;GUABRANCA;AL;48624924871;55401671897091;True;True
robert COLE;63;ALVARES;AM;13033948987;95024170741805;True;True
ashley PATTERSON;53;SERRADONAVIO;AP;80515535273;03499011117770;True;True
mark TYLER;66;ABARA;BA;09027130434;75294395054354;True;True
megan WEBB;68;ABAIARA;CE;89018937380;56771748230652;True;True
timothy STEVENS;51;Braslia;DF;14179120658;53771021682901;True;True
jessica RUSSELL;90;AFONSOCLUDIO;ES;30985636726;34804379227230;True;True
brandon HIGGINS;24;ABADIADEGOIS;GO;08729539129;52086005866481;True;True
